repo_name,commit,message,Justification,Comment,Is_Refactor,Is_Perfective,Is_Adaptive,Is_Corrective
jengelh/systemd,5611ddebe4dd800410f0c413ee034735e1d9993c,"loginctl: report tty in session listings

Without the tty it's really hard to tell which session is which.

New output:
$ ./loginctl
   SESSION        UID USER             SEAT             TTY
        13       1002 zbyszek          seat0            tty3
        c1         42 gdm              seat0            /dev/tty1
        11       1002 zbyszek          seat0            tty4
         3       1002 zbyszek          seat0            /dev/tty2
        17       1002 zbyszek          seat0            tty5
        18       1002 zbyszek          seat0            tty6
6 sessions listed.
",report in header,report,,,TRUE,
crobinso/libvirt,2d07f1f0ebd44b0348daa61afa0de34f3f838c22,"storage: Don't dereference driver object if virStorageSource is not initialized

virStorageFileReportBrokenChain uses data from the driver private data
pointer to print the user and group. This would lead to a crash in call
paths where we did not initialize the storage backend as recently added
in commit 24e47ee2b93 to qemuDomainDetermineDiskChain.

Resolves: https://bugzilla.redhat.com/show_bug.cgi?id=1522682
",don't in header,don't in header,,,,TRUE
msau42/kubernetes,46fb4172999bebcf822a2953e1783ed0428adc70,"Remove sleep from DynamicProvisioner test.

The comment says that the sleep is there because of 10 minute PV controller
sync. The controller sync is now 15 seconds and it should be quick enough
to hide this in subsequent WaitForPersistentVolumeDeleted(.. , 20*time.Minute)
",,,,,,
daverigby/kv_engine,aee715ed57e1f794fdb44c390f9bc80bfb28c0f1,"MB-26557: Don't try to use cb::mcbp::Request when it may be a response

Change-Id: Ib3fa3dda0a63892c934618925225962a1a9c2062
Reviewed-on: http://review.couchbase.org/84856
Reviewed-by: Dave Rigby <a09264da4832c7ff1d3bf1608a19f4b870f93750@couchbase.com>
Tested-by: Build Bot <80754af91bfb6d1073585b046fe0a474ce868509@couchbase.com>
",,don't try in header,,,,TRUE
lembacon/homebrew-core,e2bbcb28ce1ce50479a0fcdb3b43fa79f065df10,"ino: do not generate easy_install.pth

see Homebrew/homebrew#29518

- use resources for python dependencies as in the ansible formula
- omit options as per [the wiki][] because ordereddict's setup.py does not recognize them

[the wiki]:
https://github.com/Homebrew/homebrew/wiki/Homebrew-and-Python#if-the-software-provides-a-setuppy

Closes Homebrew/homebrew#30218.

Signed-off-by: Jack Nagel <43386ce32af96f5c56f2a88e458cb94cebee3751@gmail.com>
",,do not in header,,,,TRUE
wongsyrone/lede-1,8d3857a34748126453e0d22d5243cf3940e2139f,"ath9k: unset the default LED pin if used by platform buttons

Unset the default LED gpio pin if the same gpio pin is used by a button
defined via platform button. It prevents the change of the GPIO value
on wireless up/down or wireless traffic.

Fixes: FS#1129

Signed-off-by: Mathias Kresin <34c6fceca75e456f25e7e99531e2425c6c1de443@kresin.me>
",,fixes: is not  found???,,,,TRUE
UweTrottmann/SeriesGuide,1563bcada956e8cfb8c6d7343f1611b60195b72e,"Only create calendar popup menu if resumed.

- Guard against the fragment being paged away and the adapter no longer having the required data.
- Also fix warnings.
- https://fabric.io/seriesguide/android/apps/com.battlelancer.seriesguide/issues/57712357ffcdc04250e33684
",fix,uncertain,,,,
Subsurface-divelog/subsurface,1f1dcecc02a5c33c81d41a8a7c6aa2b9cc6b6da5,"Planner: Show waypoints for gas changes but no double depths

Signed-off-by: Robert C. Helling <810627760e207b4a4a6a1944ce54466b9e1b266b@atdotde.de>
Signed-off-by: Dirk Hohndel <a00b27378a09822d5638cdfb8c2e7ccc36d74c56@hohndel.org>
",,uncertain,,,,
tbrowder/rakudo,47faae2b13fe0ca8babb820bcbaa893b2a4f4ae5,"Make `make test` pass on Windows

- Use `is-run` routine for failing tests that does a bit of arg
   mangling to make them palatable to Windows's cmd.exe (RT#132258)
- Skip one of the tests on Windows. Couldn't figure out how to send
   the quote in the args; the best I got resulted in duplicated quotes.
   Perhaps if there's a good solution to RT#132258 this fudge could be
   removed.
",faqil,bug (in tests),,,,TRUE
mganeva/mantid,6a54b60ff669ac96f846836ef84a4e1e1b8ab58f,"Re #14739 Only show logs that appear in all workspaces in group

Logs to plot against must be single-valued, numeric, and appear in all
workspaces in the group. This is done by constructing a hash table of
(single-valued, numeric) log names versus how many workspaces they appear
in. If the count is equal to the number of workspaces then this log name
is added to the combo box.
",,uncertain,,,,
